objectid,filename,youtubeid,vimeoid,title,creator,date,time,description,medium,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,IMG_0256.JPG,,,"Chasing the Sun photograph, No. 1",Karen Adjei,2022-11-02,17:23,"Sunset, taken from inside museum. Palm trees and roofs are visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Phoenix, Arizona",33.448376,-112.074036,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,IMG_2307.JPG,,,"Chasing the Sun photograph, No. 2",Karen Adjei,2022-02-04,17:33,"Sunset, taken from bay shoreline. Container ship in distance is visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"San Fransisco, California",37.773972,-122.431297,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,IMG_2329.JPG,,,"Chasing the Sun photograph, No. 3",Karen Adjei,2022-02-04,17:42,"Sunset, taken from cliff next to bay shoreline. Container ship is visible in the distance.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"San Fransisco, California",37.773972,-122.431297,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,IMG_2335.JPG,,,"Chasing the Sun photograph, No. 4",Karen Adjei,2022-02-04,17:48,"Sunset, taken from cliff on hike. Moon and army base is visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"San Fransisco, California",37.773972,-122.431297,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,IMG_0685.JPG,,,"Chasing the Sun photograph, No. 5",Karen Adjei,2022-11-30,16:52,"Sunset, taken from sidewalk of apartment complex. Trees, road of community college campus, and headlights from cars are visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Germantown, Maryland",39.173161,-77.271652,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,IMG_2354.JPG,,,"Chasing the Sun photograph, No. 6",Karen Adjei,2022-02-04,18:11,"Sunset, taken from bay shoreline. Lights from container ships are visible in the distance.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"San Fransisco, California",37.773972,-122.431297,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,IMG_2355.JPG,,,"Chasing the Sun photograph, No. 7",Karen Adjei,2022-02-04,18:11,"Sunset, taken from bay shoreline. Light from container ship are visible in the distance.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"San Fransisco, California",37.773972,-122.431297,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,IMG_3696.JPG,,,"Chasing the Sun photograph, No. 8",Karen Adjei,2022-03-18,18:59,"Sunset, taken from moving car on freeway next to beach. Mountain, palm trees, houses, and people walking in the distance are visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Santa Monica, California",34.024212,-118.496475,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,IMG_5563.JPG,,,"Chasing the Sun photograph, No. 9",Karen Adjei,2022-06-15,20:10,"Sunset, taken from Balitmore Harbor. Buildings, boats on dock, and walking path and people are visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Baltimore, Maryland",39.299236,-76.609383,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,IMG_6365.JPG,,,"Chasing the Sun photograph, No. 10",Karen Adjei,2022-07-31,6:08,"Sunrise, taken from moving train. A light fixture is visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Richmond, Virginia",37.54129,-77.434769,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,IMG_6597.JPG,,,"Chasing the Sun photograph, No. 11",Karen Adjei,2022-08-06,20:06,"Sunset, taken from moving cable car. Tops of beach houses are visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Jersey Shore, New Jersey",39.965255,-74.311821,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,IMG_6738.JPG,,,"Chasing the Sun photograph, No. 12",Karen Adjei,2022-08-08,6:15,"Sunrise, taken from beach shore. A woman and her dog running are visible in the distance.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Seaside Heights, New Jersey",39.9431,-74.0742,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,IMG_7710.JPG,,,"Chasing the Sun photograph, No. 13",Karen Adjei,2022-08-27,19:44,"Sunset, taken from hiking path. Moving boat, bridge, trees, and cable lines are visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Minneapolis, Minnesota",44.986656,-93.258133,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,IMG_7745.JPG,,,"Chasing the Sun photograph, No. 14",Karen Adjei,2022-08-27,19:57,"Sunset, taken from pedestrian bridge. Lighthouse, bridge, pedestrian bridge, trees, building and moving car are visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Minneapolis, Minnesota",44.986656,-93.258133,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll015,IMG_8179.JPG,,,"Chasing the Sun photograph, No. 15",Karen Adjei,2022-09-29,19:08,"Sunset, taken from sidewalk near Union Market. Pedestrians, cars, string lights, and buildings are visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Washington, D.C.",38.89511,-77.03637,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll016,IMG_8839.JPG,,,"Chasing the Sun photograph, No. 16",Karen Adjei,2022-10-15,18:00,"Sunset, taken from dam walkway. Trees, woman on walkway, pedestrians, and cars are visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Frederick, Maryland",39.412327,-77.425461,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll017,IMG_9441.JPG,,,"Chasing the Sun photograph, No. 17",Karen Adjei,2022-10-30,7:21,"Sunrise, taken from moving subway car. Light fixtures, buildings, trees, and a field are visible. Glare from inside the subway car is visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Rockville, Maryland",39.086437,-77.161263,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll018,IMG_9787.JPG,,,"Chasing the Sun photograph, No. 18",Karen Adjei,2022-11-01,6:36,"Sunrise, taken from hotel balcony. Palm trees, mountains, and a yard are visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Tempe, Arizona",33.427204,-111.939896,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll019,IMG_9420.JPG,,,"Chasing the Sun photograph, No. 19",Karen Adjei,2022-10-28,18:19,"Sunset, taken from moving car. Tops of trees are visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Philadelphia, Pennsylvania",39.952583,-75.165222,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll020,IMG_9813.JPG,,,"Chasing the Sun photograph, No. 20",Karen Adjei,2022-11-01,17:46,"Sunset, taken from hotel balcony. Trees, mountains, lights, and a house are visible.",photograph,Photography;Appreciation of a person's creative works;Art;Sun--Rising and setting,"Tempe, Arizona",33.427204,-111.939896,"Karen's iPhone 8 Plus, iOS 15.6.1",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/